event_id,event_name,genre,venue_name,market,venue_capacity,tier
rZ7HnEZ1Af-Yfd,"Easy Honey, Margot Sinclair",Alternative,Nikki Lopez Philly,Philadelphia,,
rZ7HnEZ1Afr3Zd,Rock Symphony w/ Terence Gowan of Styx,Classical,Casa Loma,Toronto,,
rZ7HnEZ1Af00oK,Dale Watson,Country,SPACE,Evanston,,
rZ7HnEZ1AfJbPN,Magic Hunks,Dance/Electronic,Skully's Music Diner,Columbus,,
rZ7HnEZ1AfFoQ7,"Ani DiFranco, Wryn",Folk,Belly Up,Solana Beach,,
rZ7HnEZ1Af-YOK,Kill Bill: The Rapper - I FOUND THE END Tour,Hip-Hop/Rap,The Song & Dance,Syracuse,,
rZ7HnEZ1Afro-d,Dizzy Gillespie All-Star Big Band,Jazz,Blue Note Jazz Club,New York,,
rZ7HnEZ1AfFAJ7,JEFFREY NOTHING (Co-founding singer of Mushroomhead) • Dizasterpiece • Sons Of The Pyre,Metal,The Token Lounge,Westland,,
rZ7HnEZ1AfPekd,Gay Ole Opry Presents: Lilith Feral 2-SHOW-PASS,Other,The Basement,Nashville,,
rZ7HnEZ1AfPIbK,ROLLING QUARTZ [MY TURN] 2026 TOUR in Montreal,Pop,Piranha Bar,Montreal,,
rZ7HnEZ1AfFt07,Lyrical Rhythms,R&B,B Side Lounge,Cleveland Heights,,
rZ7HnEZ1Afb0qd,"Charity Gayle - REJOICE: A Night of Worship w/ special guest, Ryan Kennedy - Ormond Beach, FL",Religious,Calvary - Ormond Beach,Ormond Beach,,
rZ7HnEZ1AfFz80,"Lesser Birds, The Collect Pond, Good Karma, Plastic Actors",Rock,Middle East - Upstairs,Cambridge,,
rZ7HnEZ1AfjOFN,BLUE FRIDAY SPECIAL! Entry to All Shows at the Blue Moon for 2026!,World,Blue Moon Saloon,Lafayette,,
rZ7HnEZ1Af0YFN,Nonpoint,Alternative,Manchester Music Hall,Lexington,,
rZ7HnEZ1Afa_a7,"In The Round with Adam Hambrick, Gordie Sampson & Kris Allen",Country,The Bluebird Cafe,Nashville,,
rZ7HnEZ1Af-0uK,Monty Alexander,Jazz,Birdland Jazz Club,New York,,
rZ7HnEZ1Afq40N,The Ex-Faces,Metal,Hobart Art Theatre,Hobart,,
rZ7HnEZ1Afa_aV,"NSAI Performance Series presented by Bank of America: In The Round with JT Harding, Marv Green & Frank Ray",Other,The Bluebird Cafe,Nashville,,
rZ7HnEZ1Af0Yod,Geena Fontanella w/ David Michael Frank & Attaboy,Pop,Rumba Cafe,Columbus,,
rZ7HnEZ1A4Zx-d,Super Funny Karaoke,R&B,Nate Jackson's Super Funny Comedy Club,Tacoma,,
rZ7HnEZ1AfPeZS,Ben Nichols - In The Heart of the Mountain Tour,Rock,The 27 Club,Ottawa,,
rZ7HnEZ1AfjOGS,I'm On the List! + 1 (Entry to all shows at the Blue Moon in 2026 for you and a guest and your first drink is on us!),World,Blue Moon Saloon,Lafayette,,
rZ7HnEZ1AfxKfd,PORTUGAL. THE MAN,Alternative,The Refinery,Charleston,,
rZ7HnEZ1AfaKo0,Two-Step Tuesday with Shorty & the Mustangs and Dance Lessons with Peggy,Country,Showdown Saloon,Portland,,
rZ7HnEZ1Afroxd,Dizzy Gillespie All-Star Big Band,Jazz,Blue Note Jazz Club,New York,,
rZ7HnEZ1Afk__7,Abbie Roper | Grumpy Plum | Dizzy & The Drapes | Deanna Valentine,Other,Bowery Palace,New York,,
rZ7HnEZ1AfF300,"LITTLE MOON , Bly Wallentine",Pop,Neurolux Lounge,Boise,,
rZ7HnEZ1AfFdf0,"One Night Live Presents Frail Talk, Anna Applegate",Rock,The Southgate House Revival - Revival Room,Newport,,
rZ7HnEZ1AfF-Z7,"Still Rings, Me At Night, Olive Bernard",Alternative,Night Club 101,New York,,
rZ7HnEZ1AfaAx7,"Alden Booking Presents: The Collective Collapse Tour featuring: Collective Dust, Coraline’s Collapse, One For Sorrow and Capo",Other,Williams Center - CUG Cantina - Rutherford,Rutherford,,
rZ7HnEZ1AfrZjK,Jammy Buffet: Lakes Below The Mountains Tour,Rock,The Southgate House Revival - Sanctuary,Newport,,
rZ7HnEZ1AfaEJ7,Jason Maksymilian & Friends,Alternative,Berlin,New York,,
rZ7HnEZ1Afak87,Lucky Horse Red / Sports Boyfriend / Pebbles Inc,Other,Empty Bottle,Chicago,,
rZ7HnEZ1Af-00d,Vince Giordano and the Nighthawks,Rock,Birdland Theater,New York,,
rZ7HnEZ1Afad17,"Dogma Society, Nautics",Alternative,Three Links Deep Ellum,Dallas,,
rZ7HnEZ1AfkdC7,The Cold Stares,Rock,Iridium,New York,,
rZ7HnEZ1AfagPV,"Samsara, Mentally Distrakted,  The Little Ditties, Wage Cage",Alternative,Grog Shop,Cleveland Heights,,
rZ7HnEZ1AfF-_f,"Cottage Corpse, I-90 Fiasco & Athleisure",Rock,Tractor,Seattle,,
rZ7HnEZ1A4Zx-N,"Hot Mic! Every 2nd Tuesday at The Nick, doors 7pm",Alternative,The Nick,Birmingham,,
